"","target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"250","DF0000002_4_AluY",0.00575908396292058,0.0119608588529987,12.5346424148165,228.478714788109,3,6.7611140480168,11.4239357394055,0.268536191869045,11.1553995475364,0.142922051065957,11.1553995475364
"251","DF0000394_4_LTR10C",0.00576233315182853,0.0119608588529987,12.5334302802769,2.4639467288035,3,4.85658030714857,0.123197336440175,0.00963225028370408,0.113565086156471,0.139284971241825,0.139284971241825
"252","DF0000016_4_7SLRNA",0.00586434368408217,0.0121242978547889,12.4957142121033,15.4257804551587,3,6.59374889602889,0.771289022757934,0.00316469354167984,0.768124329216254,0.140831741685558,0.768124329216254
"253","DF0000164_4_HERV1_LTRa",0.00611930389303601,0.0126014123647105,12.404214000087,26.6836536217543,3,2.70726185581401,1.33418268108771,0.10521031174877,1.22897236933894,0.365427262789763,1.22897236933894
"254","DF0000793_4_MER48",0.00618341649256291,0.0126833070575798,12.3817984087746,6.08492603434074,3,3.0754112106136,0.304246301717037,0.075862917654888,0.228383384062149,0.297658271362084,0.297658271362084
"255","DF0000004_4_Tigger3a",0.00632334031132708,0.0128689855554743,12.3336645384005,2.20697578637345,3,5.24344311477866,0.110348789318672,0.0144746263341019,0.0958741629845705,0.128695257868722,0.128695257868722
"256","DF0000558_4_LTR5_Hs",0.00630025878031848,0.0128689855554743,12.3415316332981,4.72920313870414,3,6.19964224818752,0.236460156935207,0.00231015131837727,0.23415000561683,0.136875181872123,0.23415000561683
"257","DF0001134_4_MSTB2",0.00669685568682852,0.0135761160032594,12.2101561371691,7.97334716614501,3,3.0445367874204,0.39866735830725,0.0949054989433249,0.303761859363926,0.302615984719758,0.303761859363926
"258","DF0001303_2_HERV9N",0.00700736516960829,0.0141505319897904,12.1125576321037,5.29123449077395,3,4.28907336194687,0.264561724538698,0.0344421218115621,0.230119602727135,0.171356582126026,0.230119602727135
"259","DF0000413_4_LTR15",0.00704230664988686,0.0141661844192705,12.1018435704536,5.90715112600305,3,5.27851329226925,0.295357556300152,0.00546202424866657,0.289895532051486,0.128278620576171,0.289895532051486
"260","DF0000565_4_LTR66",0.00712369842842526,0.0142747956969598,12.0770888034657,5.09809784450093,3,3.33146925646002,0.254904892225047,0.0512906693730859,0.203614222851961,0.262598131794027,0.262598131794027
"261","DF0000399_4_LTR12",0.00718516753436094,0.0143428056911956,12.0585779001497,4.51879897244016,3,3.72945029748235,0.225939948622008,0.0677889483585417,0.158151000263466,0.224512358111868,0.224512358111868
"262","DF0000215_4_HUERS-P2",0.00760372256934854,0.0151203796130939,11.936544787383,25.1265135236147,3,1.05986570305978,1.25632567618073,0.211790280571444,1.04453539560929,1.09134266807536,1.09134266807536
"263","DF0000786_4_MER45B",0.00774013116064759,0.0153145661455375,11.8982040156929,17.7678298792607,3,1.68953959885496,0.888391493963035,0.199640521698916,0.68875097226412,0.695710165399246,0.695710165399246
"264","DF0001137_4_TAR1",0.00776016403535874,0.0153145661455375,11.8926295891128,4.38062350289596,3,3.61853260677095,0.219031175144798,0.0309337274648709,0.188097447679927,0.234289443302223,0.234289443302223
"265","DF0000804_4_MER4E",0.00781829872104471,0.0153710703157143,11.8765329064551,5.05893934805562,3,4.47136839932933,0.252946967402781,0.0231785579867138,0.229768409416067,0.158294516788172,0.229768409416067
"266","DF0000940_4_MER83B-int",0.00787208988852814,0.015418642225275,11.8617438270337,16.0104473047569,3,2.0172786394896,0.800522365237843,0.212504417553661,0.588017947684182,0.558441804162063,0.588017947684182
"267","DF0000752_5_MER34B-int",0.00795858373560647,0.0155296708848351,11.8381716170575,8.75631491552186,3,4.77271147595537,0.437815745776093,0.0122854648478759,0.425530280928217,0.142831651760343,0.425530280928217
"268","DF0000411_5_LTR14B",0.0080171434306162,0.0155855661468322,11.8223555065709,1.13136718782611,3,4.37273480366113,0.0565683593913054,0.0134996018192848,0.0430687575720206,0.164706889853472,0.164706889853472
"269","DF0000488_4_LTR32",0.00814865370239332,0.0157823367247097,11.7872483356699,15.6576410660536,3,2.02956301443917,0.782882053302681,0.187674780585883,0.595207272716799,0.554018907540933,0.595207272716799
"270","DF0000273_4_L1MB7_3end",0.00835751569052786,0.0161269099065371,11.7326255801752,0.967501526070499,3,5.77044586996489,0.0483750763035249,0.00415254884609765,0.0442225274574273,0.130106352483279,0.130106352483279
"271","DF0000629_4_MADE1",0.00843896639926749,0.0161643437280087,11.7116886272874,36.9178484005892,3,2.33318857618354,1.84589242002946,0.252351383713634,1.59354103631583,0.457658713809487,1.59354103631583
"272","DF0000858_4_MER52D",0.00843390430616984,0.0161643437280087,11.7129840150974,7.74462170377313,3,2.16890653814798,0.387231085188657,0.236169524086205,0.151061561102452,0.50689913770789,0.50689913770789
"273","DF0000229_4_L1M2_5end",0.00893691290995248,0.0169339983536466,11.5878732450903,6.22972557801339,3,3.66758500861257,0.311486278900669,0.0419423818842477,0.269543897016422,0.22994673584421,0.269543897016422
"274","DF0000355_4_L1PREC2_3end",0.00893829087764454,0.0169339983536466,11.5875401495944,1.56396792283765,3,6.28375969895973,0.0781983961418822,0.00257416986952429,0.0756242262723582,0.137995702783602,0.137995702783602
"275","DF0000976_4_MIRc",0.00888190439669521,0.0169339983536466,11.6012120005676,2.08946112156244,3,4.46118363881994,0.104473056078122,0.0135433917067764,0.0909296643713455,0.158877729582787,0.158877729582787
"276","DF0000437_4_LTR1B",0.0090028882303159,0.0169601656715092,11.57198167221,56.754516380235,3,1.50935771701394,2.83772581901175,0.785747952557904,2.05197786645384,0.789197475841056,2.05197786645384
